Municipality,Building Use,Activity,Value of Permits,Number of Permits,Extract Date
MUNICIPALITY OF THE DISTRICT OF ST. MARY'S,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,Commercial,AdditionsAndRenovations,141000,5,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,Commercial,NewConstruction,124000,1,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
MUNICIPALITY OF THE DISTRICT OF WEST HANTS,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
REGION OF QUEENS MUNICIPALITY,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
REGION OF QUEENS MUNICIPALITY,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
REGION OF QUEENS MUNICIPALITY,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
REGION OF QUEENS MUNICIPALITY,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
REGION OF QUEENS MUNICIPALITY,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
REGION OF QUEENS MUNICIPALITY,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF AMHERST,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF AMHERST,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF AMHERST,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF AMHERST,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF AMHERST,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF AMHERST,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF ANNAPOLIS ROYAL,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF ANNAPOLIS ROYAL,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF ANNAPOLIS ROYAL,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF ANNAPOLIS ROYAL,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF ANNAPOLIS ROYAL,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF ANNAPOLIS ROYAL,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF ANTIGONISH,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF ANTIGONISH,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF ANTIGONISH,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF ANTIGONISH,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF ANTIGONISH,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF ANTIGONISH,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF BRIDGEWATER,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF BRIDGEWATER,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF BRIDGEWATER,Industrial,AdditionsAndRenovations,8000,1,12/01/2018 07:30:55 AM
TOWN OF BRIDGEWATER,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF BRIDGEWATER,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF BRIDGEWATER,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF CLARK'S HARBOUR,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF CLARK'S HARBOUR,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF CLARK'S HARBOUR,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF CLARK'S HARBOUR,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF CLARK'S HARBOUR,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF CLARK'S HARBOUR,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF DIGBY,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF DIGBY,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF DIGBY,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF DIGBY,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF DIGBY,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF DIGBY,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF LOCKEPORT,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF LOCKEPORT,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF LOCKEPORT,Industrial,AdditionsAndRenovations,5000,1,12/01/2018 07:30:55 AM
TOWN OF LOCKEPORT,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF LOCKEPORT,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF LOCKEPORT,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF LUNENBURG,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF LUNENBURG,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF LUNENBURG,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF LUNENBURG,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF LUNENBURG,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF LUNENBURG,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF MAHONE BAY,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF MAHONE BAY,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF MAHONE BAY,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF MAHONE BAY,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF MAHONE BAY,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF MAHONE BAY,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF MIDDLETON,Commercial,AdditionsAndRenovations,38500,1,12/01/2018 07:30:55 AM
TOWN OF MIDDLETON,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF MIDDLETON,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF MIDDLETON,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF MIDDLETON,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF MIDDLETON,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF MULGRAVE,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF MULGRAVE,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF MULGRAVE,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF MULGRAVE,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF MULGRAVE,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF MULGRAVE,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF NEW GLASGOW,Commercial,AdditionsAndRenovations,230000,2,12/01/2018 07:30:55 AM
TOWN OF NEW GLASGOW,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF NEW GLASGOW,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF NEW GLASGOW,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF NEW GLASGOW,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF NEW GLASGOW,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF PICTOU,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF PICTOU,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF PICTOU,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF PICTOU,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF PICTOU,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF PICTOU,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF PORT HAWKESBURY,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF PORT HAWKESBURY,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF PORT HAWKESBURY,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF PORT HAWKESBURY,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF PORT HAWKESBURY,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF PORT HAWKESBURY,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF SHELBURNE,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF SHELBURNE,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF SHELBURNE,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF SHELBURNE,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF SHELBURNE,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF SHELBURNE,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF STELLARTON,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF STELLARTON,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF STELLARTON,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF STELLARTON,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF STELLARTON,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF STELLARTON,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF STEWIACKE,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF STEWIACKE,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF STEWIACKE,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF STEWIACKE,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF STEWIACKE,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF STEWIACKE,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF TRENTON,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF TRENTON,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF TRENTON,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF TRENTON,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF TRENTON,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF TRENTON,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF TRURO,Commercial,AdditionsAndRenovations,123295,2,12/01/2018 07:30:55 AM
TOWN OF TRURO,Commercial,NewConstruction,6000,1,12/01/2018 07:30:55 AM
TOWN OF TRURO,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF TRURO,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF TRURO,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF TRURO,InstitutionalAndGovernmental,NewConstruction,150000,1,12/01/2018 07:30:55 AM
TOWN OF WESTVILLE,Commercial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF WESTVILLE,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF WESTVILLE,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF WESTVILLE,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF WESTVILLE,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF WESTVILLE,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF WINDSOR,Commercial,AdditionsAndRenovations,8000,2,12/01/2018 07:30:55 AM
TOWN OF WINDSOR,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF WINDSOR,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF WINDSOR,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF WINDSOR,InstitutionalAndGovernmental,AdditionsAndRenovations,53728.67,1,12/01/2018 07:30:55 AM
TOWN OF WINDSOR,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF WOLFVILLE,Commercial,AdditionsAndRenovations,168000,2,12/01/2018 07:30:55 AM
TOWN OF WOLFVILLE,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF WOLFVILLE,Industrial,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF WOLFVILLE,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF WOLFVILLE,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,12/01/2018 07:30:55 AM
TOWN OF WOLFVILLE,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF YARMOUTH,Commercial,AdditionsAndRenovations,45000,2,12/01/2018 07:30:55 AM
TOWN OF YARMOUTH,Commercial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF YARMOUTH,Industrial,AdditionsAndRenovations,10000,1,12/01/2018 07:30:55 AM
TOWN OF YARMOUTH,Industrial,NewConstruction,0,0,12/01/2018 07:30:55 AM
TOWN OF YARMOUTH,InstitutionalAndGovernmental,AdditionsAndRenovations,10000,1,12/01/2018 07:30:55 AM
TOWN OF YARMOUTH,InstitutionalAndGovernmental,NewConstruction,0,0,12/01/2018 07:30:55 AM
CAPE BRETON REGIONAL MUNICIPALITY,Commercial,AdditionsAndRenovations,300857,3,11/01/2018 07:30:36 AM
CAPE BRETON REGIONAL MUNICIPALITY,Commercial,NewConstruction,0,0,11/01/2018 07:30:36 AM
CAPE BRETON REGIONAL MUNICIPALITY,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
CAPE BRETON REGIONAL MUNICIPALITY,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
CAPE BRETON REGIONAL MUNICIPALITY,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
CAPE BRETON REGIONAL MUNICIPALITY,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,Commercial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,Commercial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,Commercial,AdditionsAndRenovations,175000,1,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,Commercial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,Commercial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,Commercial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,Commercial,AdditionsAndRenovations,76000,4,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,Commercial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,Commercial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,Commercial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,Commercial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,Commercial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,InstitutionalAndGovernmental,AdditionsAndRenovations,196000,1,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,Commercial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,Commercial,NewConstruction,200000,1,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,Commercial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,Commercial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF ARGYLE,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,Commercial,AdditionsAndRenovations,2000,1,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,Commercial,NewConstruction,10000,1,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,Industrial,NewConstruction,55000,2,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF BARRINGTON,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,Commercial,AdditionsAndRenovations,54000,1,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,Commercial,NewConstruction,50000,1,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,InstitutionalAndGovernmental,AdditionsAndRenovations,25000,1,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF CHESTER,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,Commercial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,Commercial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF CLARE,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,Commercial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,Commercial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF DIGBY,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,Commercial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,Commercial,NewConstruction,50000,1,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF EAST HANTS,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,Commercial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,Commercial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,Industrial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,Industrial,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF GUYSBOROUGH,InstitutionalAndGovernmental,NewConstruction,0,0,11/01/2018 07:30:36 AM
MUNICIPALITY OF THE DISTRICT OF LUNENBURG,Commercial,AdditionsAndRenovations,0,0,11/01/2018 07:30:36 AM
